process,setting,generator,nevents,directory,beamEnergy,pythiaTune,genproductions
DYJets,inclusive,amcatnloFXFX-pythia,1000000,MadGraph5_aMCatNLO,6800,CP5,testrelease2
DYJets,inclusive,madgraphMLM-pythia,1000000,MadGraph5_aMCatNLO,6800,CP5,testrelease2
DYJets,Mll-50to100,amcatnloFXFX-pythia,1000000,MadGraph5_aMCatNLO,6800,CP5,testrelease2
DYJets,Mll-100to200,amcatnloFXFX-pythia,1000000,MadGraph5_aMCatNLO,6800,CP5,testrelease2
DYJets,Mll-200to500,amcatnloFXFX-pythia,1000000,MadGraph5_aMCatNLO,6800,CP5,testrelease2
DYJets,Mll-500to1000,amcatnloFXFX-pythia,1000000,MadGraph5_aMCatNLO,6800,CP5,testrelease2
DYJets,Mll-1000to3000,amcatnloFXFX-pythia,1000000,MadGraph5_aMCatNLO,6800,CP5,testrelease2
DYJets,Mll-3000toInf,amcatnloFXFX-pythia,1000000,MadGraph5_aMCatNLO,6800,CP5,testrelease2
DYJets,0J,amcatnloFXFX-pythia,1000000,MadGraph5_aMCatNLO,6800,CP5,testrelease2
DYJets,1J,amcatnloFXFX-pythia,1000000,MadGraph5_aMCatNLO,6800,CP5,testrelease2
DYJets,2J,amcatnloFXFX-pythia,1000000,MadGraph5_aMCatNLO,6800,CP5,testrelease2
WJets,inclusive,amcatnloFXFX-pythia8,1000000,MadGraph5_aMCatNLO,6800,CP5,testrelease2
WW,inclusive,amcatnloFXFX-pythia,1000000,MadGraph5_aMCatNLO,6800,CP5,testrelease2
WW,LNuLNu,amcatnloFXFX-pythia,1000000,MadGraph5_aMCatNLO,6800,CP5,testrelease2
WW,LNuQQ,amcatnloFXFX-pythia,1000000,MadGraph5_aMCatNLO,6800,CP5,testrelease2
ZZ,inclusive,amcatnloFXFX-pythia,1000000,MadGraph5_aMCatNLO,6800,CP5,testrelease2
TTJets,inclusive,amcatnloFXFX-pythia,1000000,MadGraph5_aMCatNLO,6800,CP5,testrelease2
DYJets,0J,madgraphMLM-pythia,1000000,MadGraph5_aMCatNLO,6800,CP5,testrelease2
